game_id,away_team,home_team,book,market,side,odds
2017_2017-09-07_chiefs_at_patriots,Chiefs,Patriots,testbook,moneyline,home,-110
2017_2017-09-10_cardinals_at_lions,Cardinals,Lions,testbook,moneyline,home,-110
2017_2017-09-10_colts_at_rams,Colts,Rams,testbook,moneyline,home,-110
2017_2017-09-10_eagles_at_redskins,Eagles,,testbook,moneyline,home,-110
2017_2017-09-10_falcons_at_bears,Falcons,Bears,testbook,moneyline,home,-110
2017_2017-09-10_giants_at_cowboys,Giants,Cowboys,testbook,moneyline,home,-110
2017_2017-09-10_jaguars_at_texans,Jaguars,Texans,testbook,moneyline,home,-110
2017_2017-09-10_jets_at_bills,Jets,Bills,testbook,moneyline,home,-110
2017_2017-09-10_panthers_at_49ers,Panthers,49ers,testbook,moneyline,home,-110
2017_2017-09-10_raiders_at_titans,Raiders,Titans,testbook,moneyline,home,-110
2017_2017-09-10_ravens_at_bengals,Ravens,Bengals,testbook,moneyline,home,-110
2017_2017-09-10_seahawks_at_packers,Seahawks,Packers,testbook,moneyline,home,-110
2017_2017-09-10_steelers_at_browns,Steelers,Browns,testbook,moneyline,home,-110
2017_2017-09-11_chargers_at_broncos,Chargers,Broncos,testbook,moneyline,home,-110
2017_2017-09-11_saints_at_vikings,Saints,Vikings,testbook,moneyline,home,-110
2017_2017-09-14_texans_at_bengals,Texans,Bengals,testbook,moneyline,home,-110
2017_2017-09-17_49ers_at_seahawks,49ers,Seahawks,testbook,moneyline,home,-110
2017_2017-09-17_bears_at_buccaneers,Bears,Buccaneers,testbook,moneyline,home,-110
2017_2017-09-17_bills_at_panthers,Bills,Panthers,testbook,moneyline,home,-110
2017_2017-09-17_browns_at_ravens,Browns,Ravens,testbook,moneyline,home,-110
2017_2017-09-17_cardinals_at_colts,Cardinals,Colts,testbook,moneyline,home,-110
2017_2017-09-17_cowboys_at_broncos,Cowboys,Broncos,testbook,moneyline,home,-110
2017_2017-09-17_dolphins_at_chargers,Dolphins,Chargers,testbook,moneyline,home,-110
2017_2017-09-17_eagles_at_chiefs,Eagles,Chiefs,testbook,moneyline,home,-110
2017_2017-09-17_jets_at_raiders,Jets,Raiders,testbook,moneyline,home,-110
2017_2017-09-17_packers_at_falcons,Packers,Falcons,testbook,moneyline,home,-110
2017_2017-09-17_patriots_at_saints,Patriots,Saints,testbook,moneyline,home,-110
2017_2017-09-17_redskins_at_rams,,Rams,testbook,moneyline,home,-110
2017_2017-09-17_titans_at_jaguars,Titans,Jaguars,testbook,moneyline,home,-110
2017_2017-09-17_vikings_at_steelers,Vikings,Steelers,testbook,moneyline,home,-110
2017_2017-09-18_lions_at_giants,Lions,Giants,testbook,moneyline,home,-110
2017_2017-09-21_rams_at_49ers,Rams,49ers,testbook,moneyline,home,-110
2017_2017-09-24_bengals_at_packers,Bengals,Packers,testbook,moneyline,home,-110
2017_2017-09-24_broncos_at_bills,Broncos,Bills,testbook,moneyline,home,-110
2017_2017-09-24_browns_at_colts,Browns,Colts,testbook,moneyline,home,-110
2017_2017-09-24_buccaneers_at_vikings,Buccaneers,Vikings,testbook,moneyline,home,-110
2017_2017-09-24_chiefs_at_chargers,Chiefs,Chargers,testbook,moneyline,home,-110
2017_2017-09-24_dolphins_at_jets,Dolphins,Jets,testbook,moneyline,home,-110
2017_2017-09-24_falcons_at_lions,Falcons,Lions,testbook,moneyline,home,-110
2017_2017-09-24_giants_at_eagles,Giants,Eagles,testbook,moneyline,home,-110
2017_2017-09-24_raiders_at_redskins,Raiders,,testbook,moneyline,home,-110
