game_id,market,selection,prob
1910db6879dddf37e4f86f0bcf1c9547,h2h,Jacksonville Jaguars,0.4137845849802372
1910db6879dddf37e4f86f0bcf1c9547,h2h,Kansas City Chiefs,0.5862154150197628
1e3d3526039030b96471845ade5992cf,h2h,Indianapolis Colts,0.7199609247802019
1e3d3526039030b96471845ade5992cf,h2h,Las Vegas Raiders,0.2800390752197981
1fe136913ef0e77717c0f0668163637f,h2h,New Orleans Saints,0.45833174850709363
1fe136913ef0e77717c0f0668163637f,h2h,New York Giants,0.5416682514929063
6e206c7bc9379b07d27298a393305384,h2h,Cleveland Browns,0.3735373537353735
6e206c7bc9379b07d27298a393305384,h2h,Minnesota Vikings,0.6264626462646264
6f5a22a3ca33478094cef1e9212ba0fc,h2h,Seattle Seahawks,0.564214304024609
6f5a22a3ca33478094cef1e9212ba0fc,h2h,Tampa Bay Buccaneers,0.43578569597539096
79c4e9f40e2647dc2a7b377cf61c48cd,h2h,Los Angeles Chargers,0.5785804816223068
79c4e9f40e2647dc2a7b377cf61c48cd,h2h,Washington Commanders,0.4214195183776933
8dcb2a6bf542ccb7e6bc58f83c8fc2ac,h2h,Cincinnati Bengals,0.22529069767441862
8dcb2a6bf542ccb7e6bc58f83c8fc2ac,h2h,Denver Broncos,0.7747093023255814
8fa3fd86eaa7b432469d43b84904e1dc,h2h,Arizona Cardinals,0.7848761408083441
8fa3fd86eaa7b432469d43b84904e1dc,h2h,Tennessee Titans,0.21512385919165578
ba826e757d625a676452b8d3d6971bb0,h2h,Buffalo Bills,0.7687861271676302
ba826e757d625a676452b8d3d6971bb0,h2h,New England Patriots,0.23121387283236994
bc4f9a719baf61261befad75f4bdb539,h2h,Denver Broncos,0.32710280373831774
bc4f9a719baf61261befad75f4bdb539,h2h,Philadelphia Eagles,0.6728971962616822
bc76fb8d846588ed46297aaab4e83de9,h2h,Miami Dolphins,0.5733731739707836
bc76fb8d846588ed46297aaab4e83de9,h2h,New York Jets,0.4266268260292164
c4b72eabb3d557e73022ec730d8e3944,h2h,Los Angeles Rams,0.6133682830930537
c4b72eabb3d557e73022ec730d8e3944,h2h,San Francisco 49ers,0.38663171690694625
de432abcc3bd8d42a582ae9f71388dcd,h2h,Dallas Cowboys,0.5374015748031497
de432abcc3bd8d42a582ae9f71388dcd,h2h,Green Bay Packers,0.4625984251968504
e9de9c4390a28a90f437760050b23531,h2h,Cincinnati Bengals,0.22762951334379902
e9de9c4390a28a90f437760050b23531,h2h,Detroit Lions,0.7723704866562009
ff8222149317a63ffe50fcda777d14c0,h2h,Carolina Panthers,0.4718423169750604
ff8222149317a63ffe50fcda777d14c0,h2h,Miami Dolphins,0.5281576830249397
